2018-11-24 08:04:09 status unpacked grep:armhf 2.24-1
2018-11-24 08:04:09 install gzip:armhf <none> 1.6-4ubuntu1
2018-11-24 08:04:09 status half-installed gzip:armhf 1.6-4ubuntu1
2018-11-24 08:04:09 status unpacked gzip:armhf 1.6-4ubuntu1
2018-11-24 08:04:09 status unpacked gzip:armhf 1.6-4ubuntu1
2018-11-24 08:04:09 install hostname:armhf <none> 3.16ubuntu2
2018-11-24 08:04:09 status half-installed hostname:armhf 3.16ubuntu2
2018-11-24 08:04:09 status unpacked hostname:armhf 3.16ubuntu2
2018-11-24 08:04:09 status unpacked hostname:armhf 3.16ubuntu2
2018-11-24 08:04:09 install init:armhf <none> 1.29ubuntu1
2018-11-24 08:04:09 status half-installed init:armhf 1.29ubuntu1
2018-11-24 08:04:09 status unpacked init:armhf 1.29ubuntu1
2018-11-24 08:04:09 status unpacked init:armhf 1.29ubuntu1
2018-11-24 08:04:09 install init-system-helpers:all <none> 1.29ubuntu1
2018-11-24 08:04:09 status half-installed init-system-helpers:all 1.29ubuntu1
2018-11-24 08:04:09 status unpacked init-system-helpers:all 1.29ubuntu1
2018-11-24 08:04:09 status unpacked init-system-helpers:all 1.29ubuntu1
2018-11-24 08:04:09 install initscripts:armhf <none> 2.88dsf-59.3ubuntu2
2018-11-24 08:04:09 status half-installed initscripts:armhf 2.88dsf-59.3ubuntu2
2018-11-24 08:04:09 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2018-11-24 08:04:09 status unpacked initscripts:armhf 2.88dsf-59.3ubuntu2
2018-11-24 08:04:09 install insserv:armhf <none> 1.14.0-5ubuntu3
2018-11-24 08:04:09 status half-installed insserv:armhf 1.14.0-5ubuntu3
2018-11-24 08:04:09 status unpacked insserv:armhf 1.14.0-5ubuntu3
2018-11-24 08:04:09 status unpacked insserv:armhf 1.14.0-5ubuntu3
2018-11-24 08:04:09 install libacl1:armhf <none> 2.2.52-3
2018-11-24 08:04:09 status half-installed libacl1:armhf 2.2.52-3
2018-11-24 08:04:09 status unpacked libacl1:armhf 2.2.52-3
2018-11-24 08:04:09 status unpacked libacl1:armhf 2.2.52-3
2018-11-24 08:04:09 install libapparmor1:armhf <none> 2.10.95-0ubuntu2
2018-11-24 08:04:09 status half-installed libapparmor1:armhf 2.10.95-0ubuntu2
2018-11-24 08:04:09 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2018-11-24 08:04:09 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2018-11-24 08:04:09 install libattr1:armhf <none> 1:2.4.47-2
2018-11-24 08:04:09 status half-installed libattr1:armhf 1:2.4.47-2
2018-11-24 08:04:09 status unpacked libattr1:armhf 1:2.4.47-2
2018-11-24 08:04:09 status unpacked libattr1:armhf 1:2.4.47-2
2018-11-24 08:04:09 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2018-11-24 08:04:09 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 install libaudit1:armhf <none> 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 status half-installed libaudit1:armhf 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2018-11-24 08:04:10 install libblkid1:armhf <none> 2.27.1-6ubuntu3
2018-11-24 08:04:10 status half-installed libblkid1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:10 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:10 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:10 install libbz2-1.0:armhf <none> 1.0.6-8
2018-11-24 08:04:10 status half-installed libbz2-1.0:armhf 1.0.6-8
2018-11-24 08:04:10 status unpacked libbz2-1.0:armhf 1.0.6-8
2018-11-24 08:04:10 status unpacked libbz2-1.0:armhf 1.0.6-8
2018-11-24 08:04:10 install libc-bin:armhf <none> 2.23-0ubuntu3
2018-11-24 08:04:10 status half-installed libc-bin:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status unpacked libc-bin:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status unpacked libc-bin:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 upgrade libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2018-11-24 08:04:10 status half-configured libc6:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status unpacked libc6:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status half-installed libc6:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status half-installed libc6:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status unpacked libc6:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 status unpacked libc6:armhf 2.23-0ubuntu3
2018-11-24 08:04:10 install libcap2:armhf <none> 1:2.24-12
2018-11-24 08:04:10 status half-installed libcap2:armhf 1:2.24-12
2018-11-24 08:04:10 status unpacked libcap2:armhf 1:2.24-12
2018-11-24 08:04:10 status unpacked libcap2:armhf 1:2.24-12
2018-11-24 08:04:10 install libcap2-bin:armhf <none> 1:2.24-12
2018-11-24 08:04:10 status half-installed libcap2-bin:armhf 1:2.24-12
2018-11-24 08:04:10 status unpacked libcap2-bin:armhf 1:2.24-12
2018-11-24 08:04:10 status unpacked libcap2-bin:armhf 1:2.24-12
2018-11-24 08:04:10 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2018-11-24 08:04:10 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2018-11-24 08:04:10 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2018-11-24 08:04:10 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2018-11-24 08:04:10 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2018-11-24 08:04:10 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2018-11-24 08:04:10 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2018-11-24 08:04:10 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2018-11-24 08:04:10 install libdb5.3:armhf <none> 5.3.28-11
2018-11-24 08:04:10 status half-installed libdb5.3:armhf 5.3.28-11
2018-11-24 08:04:10 status unpacked libdb5.3:armhf 5.3.28-11
2018-11-24 08:04:10 status unpacked libdb5.3:armhf 5.3.28-11
2018-11-24 08:04:10 install libdebconfclient0:armhf <none> 0.198ubuntu1
2018-11-24 08:04:10 status half-installed libdebconfclient0:armhf 0.198ubuntu1
2018-11-24 08:04:10 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2018-11-24 08:04:10 status unpacked libdebconfclient0:armhf 0.198ubuntu1
2018-11-24 08:04:10 install libdevmapper1.02.1:armhf <none> 2:1.02.110-1ubuntu10
2018-11-24 08:04:10 status half-installed libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2018-11-24 08:04:10 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2018-11-24 08:04:10 status unpacked libdevmapper1.02.1:armhf 2:1.02.110-1ubuntu10
2018-11-24 08:04:10 install libfdisk1:armhf <none> 2.27.1-6ubuntu3
2018-11-24 08:04:10 status half-installed libfdisk1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libfdisk1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 install libgcc1:armhf <none> 1:6.0.1-0ubuntu1
2018-11-24 08:04:11 status half-installed libgcc1:armhf 1:6.0.1-0ubuntu1
2018-11-24 08:04:11 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2018-11-24 08:04:11 status unpacked libgcc1:armhf 1:6.0.1-0ubuntu1
2018-11-24 08:04:11 install libgcrypt20:armhf <none> 1.6.5-2
2018-11-24 08:04:11 status half-installed libgcrypt20:armhf 1.6.5-2
2018-11-24 08:04:11 status unpacked libgcrypt20:armhf 1.6.5-2
2018-11-24 08:04:11 status unpacked libgcrypt20:armhf 1.6.5-2
2018-11-24 08:04:11 install libgpg-error0:armhf <none> 1.21-2ubuntu1
2018-11-24 08:04:11 status half-installed libgpg-error0:armhf 1.21-2ubuntu1
2018-11-24 08:04:11 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2018-11-24 08:04:11 status unpacked libgpg-error0:armhf 1.21-2ubuntu1
2018-11-24 08:04:11 install libkmod2:armhf <none> 22-1ubuntu4
2018-11-24 08:04:11 status half-installed libkmod2:armhf 22-1ubuntu4
2018-11-24 08:04:11 status unpacked libkmod2:armhf 22-1ubuntu4
2018-11-24 08:04:11 status unpacked libkmod2:armhf 22-1ubuntu4
2018-11-24 08:04:11 install liblzma5:armhf <none> 5.1.1alpha+20120614-2ubuntu2
2018-11-24 08:04:11 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2018-11-24 08:04:11 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2018-11-24 08:04:11 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2ubuntu2
2018-11-24 08:04:11 install libmount1:armhf <none> 2.27.1-6ubuntu3
2018-11-24 08:04:11 status half-installed libmount1:armhf 2.27.1-6ubuntu3
2018-11-24 08:04:11 status unpacked libmount1:armhf 2.27.1-6ubuntu3
